Name,Project,Description,Flowsheet module,Unit models,Unit model repositories,"Inherited model (name, unit model)",Inherited model repository,Control volumes,Control volume repositories,Property packages,Property package repositories,Reaction packages,Reaction package repositories,Configurations,Specifications for operating conditions,Mandatory config options
Osmotically Assisted Reverse Osmosis (0D),WaterTAP,,,OsmoticallyAssistedReverseOsmosis0D,watertap/unit_models/osmotically_assisted_reverse_osmosis_0D.py,OsmoticallyAssistedReverseOsmosisBaseData,watertap/unit_models/osmotically_assisted_reverse_osmosis_base.py,MembraneChannel0DBlock,watertap/core/membrane_channel0d.py,"NaClParameterBlock
(Liq phase)",watertap/property_models/NaCl_prop_pack.py,,,"material_balance_type
energy_balance_type
momentum_balance_type
concentration_polarization_type
mass_transfer_coefficient
transport_model
module_type
has_pressure_change
pressure_change_type
friction_factor
has_full_reporting","Feed-side and permeate-side inlet state variables (i.e, temperature, pressure, component mass flowrates), membrane area, membrane water permeability A, membrane salt permeability B, structural parameter (i.e., effective thickness).
If concentration polarization effects, mass transfer coefficient, and pressure drop are calculated: feed-side and permeate-side spacer porosity, channel height, and feed-side Reynolds number or water mass recovery.
If has_pressure_change is set to True: pressure drop.
If concentration_polarization_type is set to ConcentrationPolarizationType.fixed: concentration polarization modulus in feed and permeate channels.
If concentration_polarization_type is set to ConcentrationPolarizationType.calculated: mass transfer coefficient in feed and permeate channels.
If mass_transfer_coefficient is set to MassTransferCoefficient.calculated or pressure_change_type is not set to PressureChangeType.fixed_per_stage: membrane length.
If pressure_change_type is set to PressureChangeType.fixed_per_unit_length: Feed-side and permeate-side average pressure drop per unit length.
If pressure_change_type is set to PressureChangeType.calculated: friction factor, feed-side and permeate-side velocity and pressure drop per unit length.",
Osmotically Assisted Reverse Osmosis (1D),WaterTAP,,,OsmoticallyAssistedReverseOsmosis1D,watertap/unit_models/osmotically_assisted_reverse_osmosis_1D.py,OsmoticallyAssistedReverseOsmosisBaseData,watertap/unit_models/osmotically_assisted_reverse_osmosis_base.py,MembraneChannel1DBlock,watertap/core/membrane_channel1d.py,"NaClParameterBlock
(Liq phase)",watertap/property_models/NaCl_prop_pack.py,,,"material_balance_type
energy_balance_type
momentum_balance_type
concentration_polarization_type
mass_transfer_coefficient
transport_model
module_type
has_pressure_change
pressure_change_type
friction_factor
area_definition
transformation_method
transformation_scheme
finite_elements
collocation_points
has_full_reporting","Feed-side and permeate-side inlet state variables (i.e, temperature, pressure, component mass flowrates), membrane area, membrane water permeability A, membrane salt permeability B, structural parameter (i.e., effective thickness).
If concentration polarization effects, mass transfer coefficient, and pressure drop are calculated: feed-side and permeate-side spacer porosity, channel height, and feed-side Reynolds number or water mass recovery.
If has_pressure_change is set to True: pressure drop.
If concentration_polarization_type is set to ConcentrationPolarizationType.fixed: concentration polarization modulus in feed and permeate channels.
If concentration_polarization_type is set to ConcentrationPolarizationType.calculated: mass transfer coefficient in feed and permeate channels.
If mass_transfer_coefficient is set to MassTransferCoefficient.calculated or pressure_change_type is not set to PressureChangeType.fixed_per_stage: membrane length and width.
If pressure_change_type is set to PressureChangeType.fixed_per_unit_length: Feed-side and permeate-side average pressure drop per unit length.
If pressure_change_type is set to PressureChangeType.calculated: friction factor, feed-side and permeate-side velocity and pressure drop per unit length.",
Oxalate roaster,PrOMMiS,"REE Oxalate Roaster is a unit operation to convert oxalates of rare earth and gangue metal
elements to metal oxides through thermal decomposition and oxidation. There are 18 rare earth elements
including `Sc`, `Y`, `La`, `Ce`, `Pr`, `Nd`, `Pm`, `Sm`, `Eu`, `Gd`, `Tb`, `Dy`, `Ho`, `Er`, `Tm`, `Yb`, `Lu`,
and `Th` in the model. The user can specify a subset of those 18 elements through configuration when creating
the unit model. The 3 gangue elements considered in the model are `Fe`, `Al`, and `Ca`.

The feed oxalate mixture stream is typically from a precipitator in an upstream process. It is assumed
that all oxalates are in their hydrate forms. In case the anhydrous oxalate feed flow rates are specified in
the property package of the solid feed stream, the molar flow rates are converted to the corresponding hydrate flow rates.
The molecular formula of an oxalate hydrate can be expressed in a general form as :ce:`RE2(C2O4)3 \\cdot xH2O` where RE is
one of the 18 rare earth elements and x is the number of water molecules associated with the hyrate. The three
gangue oxalate hydrates considered in the model are :ce:`Fe2(C2O4)3 \\cdot 2H2O`, :ce:`Al2(C2O4)3 \\cdot H2O`, and
:ce:`CaC2O4 \\cdot H2O`, for `Fe`, `Al`, and `Ca` elements, respectively.

The feed stream contains surface moisture. The amount of surface moisture entering the reactor is specified by
a liquid inlet that contains a fraction of the liquid outlet of the precipitator.",,REEOxalateRoaster,prommis/roasting/ree_oxalate_roaster,,,,,"GenericParameterBlock (gas);
CoalRefuseParameters (solid);
AqueousParameter (liquid)","idaes/models/properties/modular_properties/base/generic_property;
prommis/leaching/leach_solution_properties;
prommis/precipitate/precipitate_liquid_properties",,,has_holdup;     has_heat_transfer; has_pressure_change;   metal_list,"Pressure drop, gas inlet temperature, pressure, mole flowrate, and mole fractions, gas outlet temperature, solid inlet temperature and mole flowrate, liquid inlet flowrate and concentrations, recovery fraction",     has_heat_transfer
Ozone (ZO),WaterTAP,,,OzoneZO,watertap/unit_models/zero_order/ozone_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Ozone with Advanced Oxidation Processes (ZO),WaterTAP,,,OzoneAOPZO,watertap/unit_models/zero_order/ozone_aop_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Peracetic Acid Disinfection (ZO),WaterTAP,,,PeraceticAcidDisinfection,watertap/unit_models/zero_order/peracetic_acid_disinfection_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Phase equilibrium ,IDAES,Library of common forms for phase equilibrium constraints.,,,,,,,,,idaes/models/properties/modular_properties/phase_equil/forms.py,,,,,
Photothermal Membrane (ZO),WaterTAP,,,PhotothermalMembrane,watertap/unit_models/zero_order/photothermal_membrane_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Plug flow reactor,IDAES,Standard IDAES plug flow reactor model.,,PFR,idaes/models/unit_models/plug_flow_reactor.py,,,,,,,,,,,
Precipitate,PrOMMiS,The Precipitator Unit Model represents an Equilibrium reactor unit model with fixed partition coefficients.,,Precipitator,prommis/precipitate/precipitator,,,,,AqueousParameter (aqueous); PrecipitateParameters (precipitate).,prommis/precipitate/precipitate_liquid_properties prommis.precipitate.precipitate_solids_properties,,,,"Aqueous inlet flowrate and concentrations, percipitate temperature",
Pressure changer,IDAES,Standard IDAES pressure changer model.,,PressureChanger,idaes/models/unit_models/pressure_changer.py,,,,,,,,,,,
Pressure Exchanger,WaterTAP,,,PressureExchanger,watertap/unit_models/pressure_exchanger.py,,,,,"SeawaterParameterBlock
MCASParameterBlock
(Liq phase)","watertap/property_models/seawater_prop_pack.py
watertap/property_models/multicomp_aq_sol_prop_pack.py",,,"material_balance_type
is_isothermal
energy_balance_type
momentum_balance_type
has_leakage
has_mixing
pressure_exchange_calculation","Feed-side and brine-side state variables (i.e., temperature, pressure, volumetric flowrate, mass fraction), pressure exchanger efficiency.
If has_mixing is set to True: volumetric mixing fraction of the brine side and feed side.
If has_leakage is set to True: volumetric leakage fraction of the brine side to the feed side.
If pressure_exchange_calculation configuration option is set to PressureExchangeType.high_pressure_difference: high pressure difference, low pressure difference, and the pressure exchanger efficiency is unfixed.",
Primary Separator (ZO),WaterTAP,,,PrimarySeparatorZO,watertap/unit_models/zero_order/primary_separator_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Product,IDAES,Standard IDAES Product block.,,Product,idaes/models/unit_models/product.py,,,,,,,,,,,
Properties interrogator,IDAES,"Tool to interrogate IDAES flowsheets and list the physical properties
required to simulate it.",,,,,,,,PropertyInterrogatorBlock,idaes/models/properties/interrogator/properties_interrogator.py,,,,,
Pump,WaterTAP,,,Pump,watertap/unit_models/pressure_changer.py,"Pressure changer, PressureChanger -> Pump, Pump",idaes/models/unit_models/pressure_changer.py,,,"SeawaterParameterBlock
MCASParameterBlock
(Liq phase)","watertap/property_models/seawater_prop_pack.py
watertap/property_models/multicomp_aq_sol_prop_pack.py",,,"material_balance_type
energy_balance_type
momentum_balance_type
has_phase_equilibrium
compressor
thermodynamic_assumption
support_isentropic_performance_curves
isentropic_performance_curves
isentropic_performance_curves (build_callback, build_head_expressions)
variable_efficiency
bep_flow*
bep_eta*
flow_ratio*
*When variable_efficiency is not VariableEfficiency.none","Outlet pressure or pressure change across the inlet and outlet, pump efficiency",
Pump,IDAES,Pump model.,,Pump,idaes/models/unit_models/pressure_changer.py,,,,,,,,,,,
Pump (ZO),WaterTAP,,,PumpZO,watertap/unit_models/zero_order/pump_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Pump Electricity (ZO),WaterTAP,,,PumpElectricityZO,watertap/unit_models/zero_order/pump_electricity_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Pure component electrolyte methods,IDAES,Method for constant relative permittivity.,,,,,,,,,idaes/models/properties/modular_properties/pure/electrolyte.py,,,,,
Pure component gas viscosities at low pressures,IDAES,"Pure component gas viscosities at low pressures from critical properties,
acentric factor, and dipole moment.",,,,,,,,,idaes/models/properties/modular_properties/pure/ChungPure.py,,,,,
Pure component properties,IDAES,"Methods for calculating pure component properties from: The Properties of Gases & Liquids, 4th Edition Reid, Prausnitz and Polling, 1987, McGraw-Hill.",,,,,,,,,idaes/models/properties/modular_properties/pure/RPP4.py,,,,,
Pure component properties,IDAES,"Methods for calculating pure component properties from: The Properties of Gases & Liquids, 3rd Edition Reid, Prausnitz and Polling, 1977, McGraw-Hill.",,,,,,,,,idaes/models/properties/modular_properties/pure/RPP3.py,,,,,
Pure component properties,IDAES,Methods for calculating pure component properties from: Perry's Chemical Engineers' Handbook.,,,,,,,,,idaes/models/properties/modular_properties/pure/Perrys.py,,,,,
Pure component properties,IDAES,Pure component properties as used by the NIST WebBook.,,,,,,,,,idaes/models/properties/modular_properties/pure/NIST.py,,,,,
Pure component properties,IDAES,"Methods for calculating pure component properties from: The Properties of Gases & Liquids, 5th Edition Reid, Prausnitz and Polling, 2001, McGraw-Hill.",,,,,,,,,idaes/models/properties/modular_properties/pure/RPP5.py,,,,,
Reaction equilibrium constants,IDAES,Methods for calculating equilibrium constants.,,,,,,,,,,,idaes/models/properties/modular_properties/reactions/equilibrium_constant.py,,,
Reaction rate constants,IDAES,Methods for calculating rate constants.,,,,,,,,,,,idaes/models/properties/modular_properties/reactions/rate_constant.py,,,
Reaction rates,IDAES,Methods for defining reaction rates.,,,,,,,,,,,idaes/models/properties/modular_properties/reactions/rate_forms.py,,,
Reactions interrogator,IDAES,Tool to interrogate IDAES flowsheets and list the reaction properties required to simulate it.,,,,,,,,,,ReactionInterrogatorBlock,idaes/models/properties/interrogator/reactions_interrogator.py,,,
Recirculating Dynamic Membrane Bioreactor (ZO),WaterTAP,,,DMBRZOO,watertap/unit_models/zero_order/dmbr_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
REE processing plant,PrOMMiS,"The University of Kentucky (UKy) rare earth element (REE) processing plant is designed to extract salable rare earth oxides from domestic U.S. coal and coal byproducts. While this implementation of the plant does not take into account
all of the complexities and unit processes detailed in the 2019 report, it depicts the major phenomena by utilizing a series of conventional REE extraction techniques, including acid tank leaching, solvent extraction, precipitation, and product roasting.",prommis/uky/uky_flowsheet.py,LeachingTrain;  Precipitator; REEOxalateRoaster; SolventExtraction; SLSeparator; Mixer;Separator,"prommis/leaching/leach_train;
prommis/precipitate/precipitator;
prommis/roasting/ree_oxalate_roaster;
prommis/solvent_extraction/solvent_extraction;
idaes/models/unit_models/solid_liquid;
idaes/models/unit_models/mixer;
idaes/models/unit_models/separator",,,,,LeachSolutionParameters (liquid); CoalRefuseParameters (solid); AqueousParameter (aqueous); PrecipitateParameters (precipitate); REESolExOgParameters (organic); GenericParameterBlock (gas),"prommis/leaching/leach_solids_properties;
prommis/leaching/leach_solution_properties;
prommis/precipitate/precipitate_liquid_properties;
prommis/precipitate/precipitate_solids_properties;
prommis/solvent_extraction/ree_og_distribution;
idaes/models/properties/modular_properties/base/generic_property",CoalRefuseLeachingReactions,prommis/leaching/leach_reactions,,"Leach liquid inlet flowrate and concentrations, leach solid inlet mass flowrateand fractions, leach volume; rougher makeup stream flowrate and concentrations; acid feeds (3) flowrate and concentrations; cleaner make-up stream flowrate and concentrations; separators split fraction; sl separators liquid recovery; precipitate temperature; roaster pressure drop, roaster gas inlet temperature, pressure, mole flowrate and fraction, roaster gas outlet temperature, roaster recovery fraction", CoalRefuseParameters (solid)
Reverse Osmosis (0D),WaterTAP,,,ReverseOsmosis0D,watertap/unit_models/reverse_osmosis_0D.py,ReverseOsmosisBaseData,watertap/unit_models/reverse_osmosis_base.py,MembraneChannel0DBlock,watertap/core/membrane_channel0d.py,"NaClParameterBlock
(Liq phase)",watertap/property_models/NaCl_prop_pack.py,,,"material_balance_type
energy_balance_type
momentum_balance_type
concentration_polarization_type
mass_transfer_coefficient
transport_model
module_type
has_pressure_change
pressure_change_type
friction_factor
has_full_reporting","Inlet feed state variables (i.e., temperature, pressure, component flowrates), membrane area, membrane water permeability A, membrane salt permeability B, and permeate pressure.
If concentration polarization effects, mass transfer coefficient, and pressure drop are calculated: feed spacer porosity, feed channel height, and membrane length or membrane width or inlet Reynolds number.
If has_pressure_change is set to True: pressure drop.
If concentration_polarization_type is set to ConcentrationPolarizationType.fixed: concentration polarization modulus in feed channel.
If concentration_polarization_type is set to ConcentrationPolarizationType.calculated: mass transfer coefficient in feed channel.
If mass_transfer_coefficient is set to MassTransferCoefficient.calculated or pressure_change_type is set to PressureChangeType.calculated: feed channel height, hydraulic diameter, spacer porosity, Reynolds number.
If mass_transfer_coefficient is set to MassTransferCoefficient.calculated or pressure_change_type is not set to PressureChangeType.fixed_per_stage: membrane length and width.
If pressure_change_type is set to PressureChangeType.fixed_per_unit_length: Feed-side average pressure drop per unit length.
If pressure_change_type is set to PressureChangeType.calculated: friction factor, feed-side velocity, and pressure drop per unit length.
If transport_model is set to TransportModel.SKK (Speigler-Kedem-Katchalsky model): reflection coefficient, alpha.",
Reverse Osmosis (1D),WaterTAP,,,ReverseOsmosis1D,watertap/unit_models/reverse_osmosis_1D.py,ReverseOsmosisBaseData,watertap/unit_models/reverse_osmosis_base.py,MembraneChannel0DBlock,watertap/core/membrane_channel0d.py,"NaClParameterBlock
(Liq phase)",watertap/property_models/NaCl_prop_pack.py,,,"material_balance_type
energy_balance_type
momentum_balance_type
concentration_polarization_type
mass_transfer_coefficient
transport_model
module_type
has_pressure_change
pressure_change_type
friction_factor
area_definition
transformation_method
transformation_scheme
finite_elements
collocation_points
has_full_reporting","Inlet feed state variables (i.e., temperature, pressure, component flowrates), membrane area, membrane water permeability A, membrane salt permeability B, permeate pressure, and membrane area or length or width.
If concentration polarization effects, mass transfer coefficient, and pressure drop are calculated: feed spacer porosity, feed channel height, and membrane length or membrane width or inlet Reynolds number.
If has_pressure_change is set to True: pressure drop.
If concentration_polarization_type is set to ConcentrationPolarizationType.fixed: concentration polarization modulus in feed channel.
If concentration_polarization_type is set to ConcentrationPolarizationType.calculated: mass transfer coefficient in feed channel.
If mass_transfer_coefficient is set to MassTransferCoefficient.calculated or pressure_change_type is set to PressureChangeType.calculated: feed channel height, hydraulic diameter, spacer porosity, Reynolds number.
If mass_transfer_coefficient is set to MassTransferCoefficient.calculated or pressure_change_type is not set to PressureChangeType.fixed_per_stage: membrane length and width.
If pressure_change_type is set to PressureChangeType.fixed_per_unit_length: Feed-side average pressure drop per unit length.
If pressure_change_type is set to PressureChangeType.calculated: friction factor, feed-side and permeate-side velocity and pressure drop per unit length.
If transport_model is set to TransportModel.SKK (Speigler-Kedem-Katchalsky model): reflection coefficient, alpha.",
Saponification reactions,IDAES,Example property package for the saponification of Ethyl Acetate with NaOH.,,,,,,,,,,SaponificationReactionParameterBlock,idaes/models/properties/examples/saponification_reactions.py,,,
Saponification thermo,IDAES,Example property package for the saponification of Ethyl Acetate with NaOH (simple liquid phase properties).,,,,,,,,SaponificationParameterBlock,idaes/models/properties/examples/saponification_thermo.py,,,,,
Screen (ZO),WaterTAP,,,ScreenZO,watertap/unit_models/zero_order/screen_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Seawater Onshore Intake (ZO),WaterTAP,,,SWOnshoreIntakeZO,watertap/unit_models/zero_order/sw_onshore_intake_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Secondary Wastewater Treatment Plant (ZO),WaterTAP,,,SecondaryTreatmentWWTPZO,watertap/unit_models/zero_order/secondary_treatment_wwtp_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Sedimentation (ZO),WaterTAP,,,SedimentationZO,watertap/unit_models/zero_order/sedimentation_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Separator,IDAES,General purpose separator block for IDAES models.,,Separator,idaes/models/unit_models/separator.py,,,,,,,,,,,
Settling Pond (ZO),WaterTAP,,,SettlingPondZO,watertap/unit_models/zero_order/settling_pond_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Shell and tube heat exchanger,IDAES,1D Single pass shell and tube HX model with 0D wall conduction model.,,ShellAndTube1D,idaes/models/unit_models/shell_and_tube_1d.py,,,,,,,,,,,
Skeleton model,IDAES,Skeleton unit model that provides users with a generic skeleton to add a custom or a surrogate unit model when control volumes are not required.,,SkeletonUnitModel,idaes/models/unit_models/skeleton_model.py,,,,,,,,,,,
Sludge Tank (ZO),WaterTAP,,,SludgeTankZO,watertap/unit_models/zero_order/sludge_tank_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
SMP (ZO),WaterTAP,,,SMPZO,watertap/unit_models/zero_order/smp_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Solid-liquid separator,IDAES,Base model for solid-liquid separations.,,SLSeparator,"idaes/models/unit_models/solid_liquid
/sl_separator.py",,,,,,,,,,,
Solvent extraction,PrOMMiS,"The Solvent Extraction unit model is used to perform the solvent extraction unit operation. It represents a series of tanks, referred to as stages, through which the aqueous and organic phases are passed, and the desired components are extracted subsequently.",,SolventExtraction,prommis/solvent_extraction/solvent_extraction,,,,,LeachSolutionParameters (aqueous); REESolExOgParameters (organic).,prommis/leaching/leach_solids_properties prommis.solvent_extraction.ree_og_distribution,,,number_of_finite_elements,"Aqueous inlet flowrate and concentrations, solid inlet mass flowrate and concentrations",
Square flash formulation,IDAES,"A smooth, square flash formulation for equation-oriented flowsheet optimization.",,,,,,,,,idaes/models/properties/modular_properties/phase_equil/smooth_VLE.py,,,,,
State junction ,IDAES,Standard IDAES StateJunction model.,,StateJunction,idaes/models/unit_models/statejunction.py,,,,,,,,,,,
Static Mixer (ZO),WaterTAP,,,StaticMixerZO,watertap/unit_models/zero_order/static_mixer_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Steam Jet Ejector,WaterTAP,,,SteamEjector,watertap/unit_models/steam_ejector.py,,,,,"WaterParameterBlock (Liq phase, vap phase)",watertap/property_models/water_prop_pack.py,,,"material_balance_type
energy_balance_type
momentum_balance_type","Inlet state variables (i.e., temperature, pressure, and component flowrates for motive steam and entrained vapor). Entrainment ratio, compression ratio.",
Stoichiometric reactor,IDAES,Standard IDAES STOICHIOMETRIC reactor model,,StoichiometricReactor,idaes/models/unit_models/stoichiometric_reactor.py,,,,,,,,,,,
Stoichiometric reactor,WaterTAP,,,StoichiometricReactor,watertap/unit_models/stoichiometric_reactor.py,,,,,MCASParameterBlock (Liq phase),watertap/property_models/multicomp_aq_sol_prop_pack.py,,,"material_balance_type
energy_balance_type
momentum_balance_type
has_pressure_change
reagent
precipitate","Inlet state variables (i.e., temperature, pressure, component mass compositions). If reagents are supplied: reagent mass flow rate or reagent dose. If precipitants are supplied: precipitant mass flow rate, mass fraction of solids in precipitant (solid) waste stream.",
Storage Tank (ZO),WaterTAP,,,StorageTankZO,watertap/unit_models/zero_order/storage_tank_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Stream scaler,IDAES,"Unit model to adjust size of streams to represent, for example, a stream being split across several identical units, which are then all modeled as a single IDAES unit.",,StreamScaler,idaes/models/unit_models/stream_scaler.py,,,,,,,,,,,
Struvite Classifier (ZO),WaterTAP,,,StruviteClassifierZO,watertap/unit_models/zero_order/struvite_classifier_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Suboxic Activated Sludge Process (ZO),WaterTAP,,,SuboxicASMZO,watertap/unit_models/zero_order/suboxic_activated_sludge_process_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Supercritical Salt Precipitation (ZO),WaterTAP,,,SaltPrecipitationZO,watertap/unit_models/zero_order/supercritical_salt_precipitation_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Surface Discharge (ZO),WaterTAP,,,SurfaceDischarge,watertap/unit_models/zero_order/surface_discharge_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Thickener,WaterTAP,,,Thickener,watertap/unit_models/thickener.py,"Separator, Separator",idaes/models/unit_models/separator.py,,,"ASM1ParameterBlock
ASM2dParameterBlock
ModifiedASM2dParameterBlock
(Single Liq phase)","watertap/property_models/unit_specific/activated_sludge/asm1_properties.py
watertap/property_models/unit_specific/activated_sludge/asm2d_properties.py
watertap/property_models/unit_specific/activated_sludge/modified_asm2d_properties.py",,,"outlet_list
num_outlets (not used if outlet_list arg is provided)
split_basis
material_balance_type
momentum_balance_type
has_phase_equilibrium
energy_split_basis
ideal_separation
ideal_split_map
mixed_state_block
construct_ports
activated_sludge_model","Inlet feed state variables (i.e., temperature, pressure, component mass compositions, alkalinity, volumetric flowrate).",
Thickener,IDAES,Thickener unit model.,,Thickener0D,"idaes/models/unit_models/solid_liquid
/thickener.py",,,,,,,,,,,
Tramp Oil Tank (ZO),WaterTAP,,,TrampOilTankZO,watertap/unit_models/zero_order/tramp_oil_tank_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Translator,IDAES,Generic template for a translator block.,,Translator,idaes/models/unit_models/translator.py,,,,,,,,,,,
Tri Media Filtration (ZO),WaterTAP,,,TriMediaFiltrationZO,watertap/unit_models/zero_order/tri_media_filtration_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Turbine,IDAES,Isentropic turbine model.,,Turbine,idaes/models/unit_models/pressure_changer.py,,,,,,,,,,,
Ultra Filtration (ZO),WaterTAP,,,UltraFiltrationZO,watertap/unit_models/zero_order/ultra_filtration_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Ultraviolet Advanced Oxidation Process,WaterTAP,,,Ultraviolet0D,watertap/unit_models/uv_aop.py,,,,,"NDMAParameterBlock
MCASParameterBlock","watertap/property_models/unit_specific/NDMA_prop_pack.py
watertap/property_models/multicomp_aq_sol_prop_pack.py",,,"material_balance_type
energy_balance_type
momentum_balance_type
has_pressure_change
uv_dose_type
has_aop
target_species","Inlet feed state variables (i.e., temperature, pressure, component mass flowrates).
If the uv_dose_type configuration option is set to default UVDoseType.fixed and the has_aop configuration is set to default False (5 DOF): Inactivation rate coefficient or overall pseudo-first order rate constant; two variables out of UV dose, average intensity of UV light, exposure time of UV light; either electricity demand of components with phase or electrical efficiency; and lamp efficiency.
Pseudo-first order rate constant for indirect photolysis of component is fixed to 0 when has_aop configuration is set to default False.
If the uv_dose_type configuration option to UVDoseType.calculated (7 additional DOF, 12 DOF in total): UV transmittance; coefficients A, B, C , D; relative lamp output; number of banks.
If has_aop is set to True (2 additional DOF, 7 DOF in total): second-order reaction rate constant; steady-state concentration of hydrogen peroxide.",
UV Reactor (ZO),WaterTAP,,,UVZO,watertap/unit_models/zero_order/uv_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
UV with Advanced Oxidation Processes (ZO),WaterTAP,,,UVAOPZO,watertap/unit_models/zero_order/uv_aop_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Valve,IDAES,Standard valve models for adiabatic control valves.,,Valve,idaes/models/unit_models/valve.py,,,,,,,,,,,
Volatile Fatty Acid (VFA) Recovery Unit (ZO),WaterTAP,,,VFARecoveryZO,watertap/unit_models/zero_order/vfa_recovery_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Walnut Shell Filter (ZO),WaterTAP,,,WalnutShellFilterZO,watertap/unit_models/zero_order/walnut_shell_filter_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Water Pumping Station (ZO),WaterTAP,,,WaterPumpingStationZO,watertap/unit_models/zero_order/water_pumping_station_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric
fix_pump_power",,
Well Field (ZO),WaterTAP,,,WellFieldZO,watertap/unit_models/zero_order/well_field_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Wind-Aided Intensified Evaporation Unit (ZO),WaterTAP,,,WAIVZO,watertap/unit_models/zero_order/waiv_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,